Bairro,Homicidios,Pop,Taxa
AEROLANDIA,17,"11,360",1.9312
AEROPORTO,2,"8,618",0.17236
ALDEOTA,8,"42,361",3.38888
ALTO DA BALANCA,10,"12,814",1.2814
ALVARO WEYNE,21,"23,690",4.9749
AMADEU FURTADO,0,"11,703",0
ANCURI,18,"20,070",3.6126
ANTONIO BEZERRA,16,"25,846",4.13536
AUTRAN NUNES,18,"21,208",3.81744
BARRA DO CEARA,70,"72,423",50.6961
BARROSO,45,"29,847",13.43115
BELA VISTA,17,"16,754",2.84818
BENFICA,2,"12,954",0.25908
BOM FUTURO,0,"6,405",0
BOM JARDIM,53,"37,758",20.01174
BONSUCESSO,25,"41,198",10.2995
CAIS DO PORTO,19,"22,382",4.25258
CAJAZEIRAS,11,"14,478",1.59258
CAMBEBA,4,"7,625",0.305
CANINDEZINHO,29,"41,202",11.94858
CARLITO PAMPLONA,17,"29,076",4.94292
CENTRO,30,"28,538",8.5614
CIDADE 2000,5,"8,272",0.4136
CIDADE DOS FUNCIONARIOS,9,"18,256",1.64304
COAÇU,0,"7,188",0
COCÓ,1,"20,492",0.20492
CONJUNTO CEARA I,7,"19,221",1.34547
CONJUNTO CEARA II,6,"23,673",1.42038
CONJUNTO ESPERANCA,15,"16,405",2.46075
CONJUNTO PALMEIRAS,46,"36,599",16.83554
COUTO FERNANDES,4,"5,260",0.2104
CRISTO REDENTOR,17,"26,717",4.54189
CURIÓ,11,"7,636",0.83996
DAMAS,2,"10,719",0.21438
DE LOURDES,0,"3,370",0
DEMÓCRITO ROCHA,5,"10,994",0.5497
DENDÊ,5,"5,637",0.28185
DIAS MACÊDO,10,"12,111",1.2111
DIONÍSIO TORRES,3,"15,634",0.46902
DOM LUSTOSA,4,"13,147",0.52588
EDSON QUEIROZ,24,"22,210",5.3304
FARIAS BRITO,1,"12,063",0.12063
FATIMA,7,"23,309",1.63163
FLORESTA,10,"28,896",2.8896
GENIBAU,37,"40,336",14.92432
GRANJA LISBOA,32,"52,042",16.65344
GRANJA PORTUGAL,26,"39,651",10.30926
GUAJERU,0,"6,668",0
PATRIOLINO RIBEIRO,2,"5,266",0.10532
HENRIQUE JORGE,6,"26,994",1.61964
ITAOCA,10,"12,477",1.2477
ITAPERI,8,"22,563",1.80504
JACARECANGA,11,"14,204",1.56244
JANGURUSSU,57,"50,479",28.77303
JARDIM AMERICA,8,"12,264",0.98112
JARDIM CEARENSE,1,"10,103",0.10103
JARDIM DAS OLIVEIRAS,31,"29,571",9.16701
JARDIM GUANABARA,6,"14,919",0.89514
JARDIM IRACEMA,29,"23,184",6.72336
JOAO XXIII,10,"18,398",1.8398
JOAQUIM TAVORA,4,"23,450",0.938
JOQUEI CLUBE,7,"19,331",1.35317
JOSE BONIFACIO,3,"8,848",0.26544
LAGOA REDONDA,13,"27,949",3.63337
MARAPONGA,12,"10,155",1.2186
MEIRELES,2,"36,982",0.73964
MESSEJANA,46,"41,689",19.17694
MONDUBIM,47,"76,044",35.74068
MONTE CASTELO,12,"13,215",1.5858
MONTESE,4,"25,970",1.0388
MUCURIPE,10,"13,747",1.3747
PADRE ANDRADE,6,"12,936",0.77616
PANAMERICANO,7,"8,815",0.61705
PAPICU,11,"18,370",2.0207
PARANGABA,11,"30,947",3.40417
PARQUE ARAXA,0,"6,715",0
PARQUE DOIS IRMAOS,14,"27,236",3.81304
PARQUE IRACEMA,2,"8,409",0.16818
PARQUE MANIBURA,0,"7,529",0
PARQUE PRESIDENTE VARGAS,9,"7,192",0.64728
PARQUE SANTA ROSA,8,"12,790",1.0232
PARQUE SAO JOSE,17,"10,486",1.78262
PARQUELANDIA,6,"14,432",0.86592
PARREAO,0,"11,072",0
PASSARE,35,"50,940",17.829
PAUPINA,12,"14,665",1.7598
PEDRAS,1,"1,342",0.01342
PICI,23,"42,494",9.77362
PIRAMBU,38,"17,775",6.7545
PLANALTO AYRTON SENNA,30,"39,446",11.8338
PRAIA DE IRACEMA,11,"3,130",0.3443
PRAIA DO FUTURO I,12,"6,630",0.7956
PRAIA DO FUTURO II,12,"11,957",1.43484
PREFEITO JOSE VALTER,25,"33,427",8.35675
PRESIDENTE KENNEDY,2,"23,004",0.46008
QUINTINO CUNHA,36,"47,277",17.01972
RODOLFO TEOFILO,4,"19,114",0.76456
SABIAGUABA,9,"2,117",0.19053
SALINAS,0,"4,298",0
SAO BENTO,0,"11,964",0
SAO GERARDO,3,"14,505",0.43515
SAO JOAO DO TAUAPE,24,"27,598",6.62352
SAPIRANGA COITE,13,"32,158",4.18054
SERRINHA,21,"28,770",6.0417
SIQUEIRA,30,"33,628",10.0884
VARJOTA,2,"8,421",0.16842
VICENTE PINZON,34,"45,518",15.47612
MANOEL SATIRO,9,"37,952",3.41568
VILA PERY,6,"20,645",1.2387
VILA UNIAO,10,"15,378",1.5378
VILA VELHA,31,"61,617",19.10127
,6,,0
BOA VISTA,1,"12,247",0.12247
MOURA BRASIL,6,"3,765",0.2259
MANUEL DIAS BRANCO,3,"1,447",0.04341
JOSE DE ALENCAR,20,"16,003",3.2006
VILA ELLERY,6,"7,863",0.47178
ENG LUCIANO CAVALCANTE,1,"15,543",0.15543
CASTELAO,7,,
GENTILANDIA,0,,
