Bairro,Homicidios,total,Pop
AEROLANDIA,149.6478873,17,"11,360"
AEROPORTO,23.20724066,2,"8,618"
ALDEOTA,18.88529544,8,"42,361"
ALTO DA BALANCA,78.03964414,10,"12,814"
ALVARO WEYNE,88.64499789,21,"23,690"
AMADEU FURTADO,0,0,"11,703"
ANCURI,89.68609865,18,"20,070"
ANTONIO BEZERRA,61.90513039,16,"25,846"
AUTRAN NUNES,84.87363259,18,"21,208"
BARRA DO CEARA,96.65437775,70,"72,423"
BARROSO,150.7689215,45,"29,847"
BELA VISTA,101.4683061,17,"16,754"
BENFICA,15.43924656,2,"12,954"
BOM FUTURO,0,0,"6,405"
BOM JARDIM,140.3676042,53,"37,758"
BONSUCESSO,60.68255741,25,"41,198"
CAIS DO PORTO,84.88964346,19,"22,382"
CAJAZEIRAS,75.97734494,11,"14,478"
CAMBEBA,52.45901639,4,"7,625"
CANINDEZINHO,70.38493277,29,"41,202"
CARLITO PAMPLONA,58.46746458,17,"29,076"
CENTRO,105.1229939,30,"28,538"
CIDADE 2000,60.44487427,5,"8,272"
CIDADE DOS FUNCIONARIOS,49.29886065,9,"18,256"
COACU,4.92812,0,”7,188"
COCO,4.879953152,1,"20,492"
CONJUNTO CEARA I,36.4185006,7,"19,221"
CONJUNTO CEARA II,25.34533012,6,"23,673"
CONJUNTO ESPERANCA,91.43553795,15,"16,405"
CONJUNTO PALMEIRAS,125.6864942,46,"36,599"
COUTO FERNANDES,76.04562738,4,"5,260"
CRISTO REDENTOR,63.62989857,17,"26,717"
CURIO,144.0544788,11,"7,636"
DAMAS,18.65845695,2,"10,719"
DE LOURDES,0,0,"3,370"
DEMOCRITO ROCHA,45.47935237,5,"10,994"
DENDE,88.69966294,5,"5,637"
DIAS MACEDO,82.56956486,10,"12,111"
DIONISIO TORRES,19.18894717,3,"15,634"
DOM LUSTOSA,30.42519206,4,"13,147"
EDSON QUEIROZ,108.0594327,24,"22,210"
FARIAS BRITO,8.289811821,1,"12,063"
FATIMA,30.03131837,7,"23,309"
FLORESTA,34.606866,10,"28,896"
GENIBAU,91.72947243,37,"40,336"
GRANJA LISBOA,61.48879751,32,"52,042"
GRANJA PORTUGAL,65.57211672,26,"39,651"
GUAJERU,0,0,"6,668"
PATRIOLINO RIBEIRO,37.97949107,2,"5,266"
HENRIQUE JORGE,22.22716159,6,"26,994"
ITAOCA,80.14747135,10,"12,477"
ITAPERI,35.45627798,8,"22,563"
JACARECANGA,77.44297381,11,"14,204"
JANGURUSSU,112.9182432,57,"50,479"
JARDIM AMERICA,65.23157208,8,"12,264"
JARDIM CEARENSE,9.898050084,1,"10,103"
JARDIM DAS OLIVEIRAS,104.8324372,31,"29,571"
JARDIM GUANABARA,40.21717273,6,"14,919"
JARDIM IRACEMA,125.0862664,29,"23,184"
JOAO XXIII,54.3537341,10,"18,398"
JOAQUIM TAVORA,17.0575693,4,"23,450"
JOQUEI CLUBE,36.21126688,7,"19,331"
